"text,label"
"Alabama,LOCATION_STATE"
"Alaska,LOCATION_STATE"
"Arizona,LOCATION_STATE"
"Arkansas,LOCATION_STATE"
"California,LOCATION_STATE"
"Colorado,LOCATION_STATE"
"Connecticut,LOCATION_STATE"
"Delaware,LOCATION_STATE"
"Florida,LOCATION_STATE"
"Georgia,LOCATION_STATE"
"Hawaii,LOCATION_STATE"
"Idaho,LOCATION_STATE"
"Illinois,LOCATION_STATE"
"Indiana,LOCATION_STATE"
"Iowa,LOCATION_STATE"
"Kansas,LOCATION_STATE"
"Kentucky,LOCATION_STATE"
"Louisiana,LOCATION_STATE"
"Maine,LOCATION_STATE"
"Maryland,LOCATION_STATE"
"Massachusetts,LOCATION_STATE"
"Michigan,LOCATION_STATE"
"Minnesota,LOCATION_STATE"
"Mississippi,LOCATION_STATE"
"Missouri,LOCATION_STATE"
"Montana,LOCATION_STATE"
"Nebraska,LOCATION_STATE"
"Nevada,LOCATION_STATE"
"New Hampshire,LOCATION_STATE"
"New Jersey,LOCATION_STATE"
"New Mexico,LOCATION_STATE"
"New York,LOCATION_STATE"
"North Carolina,LOCATION_STATE"
"North Dakota,LOCATION_STATE"
"Ohio,LOCATION_STATE"
"Oklahoma,LOCATION_STATE"
"Oregon,LOCATION_STATE"
"Pennsylvania,LOCATION_STATE"
"Rhode Island,LOCATION_STATE"
"South Carolina,LOCATION_STATE"
"South Dakota,LOCATION_STATE"
"Tennessee,LOCATION_STATE"
"Texas,LOCATION_STATE"
"Utah,LOCATION_STATE"
"Vermont,LOCATION_STATE"
"Virginia,LOCATION_STATE"
"Washington,LOCATION_STATE"
"West Virginia,LOCATION_STATE"
"Wisconsin,LOCATION_STATE"
"Wyoming,LOCATION_STATE"
"""Abdnor, James (Jim)"",PERSON"
"""Abouresk, James George (Jim)"",PERSON"
"""Abraham, Spencer E. (Spence)"",PERSON"
"""Abrams, Robert (Bob)"",PERSON"
"""Abzug, Bella Savitsky"",PERSON"
"""Adams, Brock (Brockman)"",PERSON"
"""Aguirre, Amanda"",PERSON"
"""Akaka, Daniel Kahikina (Dan)"",PERSON"
"""Akers, Paul"",PERSON"
"""Akin, Todd"",PERSON"
"""Alexander, Andrew Lamar"",PERSON"
"""Allard, A. Wayne"",PERSON"
"""Allen, George Felix"",PERSON"
"""Allen, Tom"",PERSON"
"""Allott, Gordon"",PERSON"
"""Andersen, Bill"",PERSON"
"""Anderson, Doug"",PERSON"
"""Andrews, Mark"",PERSON"
"""Andrews, Michael Allen"",PERSON"
"""Andrews, Rob"",PERSON"
"""Andrews, Thomas H."",PERSON"
"""Angle, Sharron"",PERSON"
"""Anthony, Bob"",PERSON"
"""Armstrong, William Lester"",PERSON"
"""Aron, Ruthann"",PERSON"
"""Ashbrook, John Milan"",PERSON"
"""Ashcroft, John David"",PERSON"
"""Ashe, Victor Henderson"",PERSON"
"""AuCoin, Les"",PERSON"
"""Babbitt, Wayne Hubert"",PERSON"
"""Babcock, Tim"",PERSON"
"""Backus, Jan"",PERSON"
"""Baesler, Henry Scott (Scotty)"",PERSON"
"""Bagert, Bernard Jr."",PERSON"
"""Bailey, Don"",PERSON"
"""Baker, Gilbert"",PERSON"
"""Baker, Howard Henry, Jr."",PERSON"
"""Baldwin, Tammy"",PERSON"
"""Barbour, Haley Reeves"",PERSON"
"""Barkley, Dean"",PERSON"
"""Barnes, Mike"",PERSON"
"""Barnes, William G."",PERSON"
"""Barr, Robert Laurence (Bob)"",PERSON"
"""Barrasso, John A. "",PERSON"
"""Barron, Dempsey J."",PERSON"
"""Bartlett, Dewey Follett"",PERSON"
"""Barton, Joe Linus"",PERSON"
"""Bates, Don. Jr"",PERSON"
"""Baucus, Max Sieben"",PERSON"
"""Bayh, Birch Evans"",PERSON"
"""Bayh, Evan"",PERSON"
"""Bayley, Chris"",PERSON"
"""Beall, James Glenn"",PERSON"
"""Beall, John Glenn, Jr."",PERSON"
"""Beard, Robin Leo, Jr."",PERSON"
"""Beatty, Jeff"",PERSON"
"""Beckam, Gerald"",PERSON"
"""Bedford, Roger H., Jr."",PERSON"
"""Begich, Mark P."",PERSON"
"""Bell, Jeffrey"",PERSON"
"""Bellmon, Henry Louis"",PERSON"
"""Benacquisto, Lizbeth"",PERSON"
"""Bennet, Michael F."",PERSON"
"""Bennett, Richard Alan (Rick)"",PERSON"
"""Bennett, Robert Foster (Bob)"",PERSON"
"""Benton, William"",PERSON"
"""Bentsen, Lloyd Millard, Jr."",PERSON"
"""Berg, Richard Allen (Rick)"",PERSON"
"""Berkley, Rochelle (Shelley)"",PERSON"
"""Bernstein, Ed"",PERSON"
"""Bernstein, Mert"",PERSON"
"""Berryhill, Clare L."",PERSON"
"""Beshear, Steven L."",PERSON"
"""Bethune, Ed"",PERSON"
"""Betts, James E."",PERSON"
"""Bevin, Matthew Griswold (Matt)"",PERSON"
"""Bible, Alan Harvey"",PERSON"
"""Biden, Joseph Robinette, Jr."",PERSON"
"""Bilirakis, Gus Michael"",PERSON"
"""Bills, Kurt"",PERSON"
"""Bingaman, Jesse Francis, Jr. (Jeff)"",PERSON"
"""Bird, Bob"",PERSON"
"""Bivens, Don"",PERSON"
"""Bladwin, Tammy"",PERSON"
"""Blakeman, Bruce"",PERSON"
"""Blatt, Genevieve"",PERSON"
"""Blinken, Alan"",PERSON"
"""Bliss, Rusty"",PERSON"
"""Blount, Winton Malcolm, Jr."",PERSON"
"""Blue, Dan"",PERSON"
"""Blumenthal, Richard (Dick)"",PERSON"
"""Blunt, Roy"",PERSON"
"""Boe, Jason"",PERSON"
"""Boettcher, Thomas Dean (Tom)"",PERSON"
"""Bond, Christopher Samuel (Kit)"",PERSON"
"""Bongino, Dan"",PERSON"
"""Bonker, Don Leroy"",PERSON"
"""Boozman, Fay"",PERSON"
"""Boozman, John"",PERSON"
"""Borcherdt, Ed"",PERSON"
"""Boren, David Lyle"",PERSON"
"""Boren, Jim"",PERSON"
"""Borgia, Chris"",PERSON"
"""Borregard, Eric"",PERSON"
"""Boschwitz, Rudolph Eli (Rudy)"",PERSON"
"""Bouchard, Michael J. (Mike)"",PERSON"
"""Boulter, Beau"",PERSON"
"""Bowles, Erskine Boyce"",PERSON"
"""Boxer, Barbara Levy"",PERSON"
"""Boyle, Mary O."",PERSON"
"""Bradbury, Bill"",PERSON"
"""Bradley, William Warren (Bill)"",PERSON"
"""Brady, Lawrence J. (Larry)"",PERSON"
"""Breaux, John Berlinger"",PERSON"
"""Brennan, Joseph Edward (Joe)"",PERSON"
"""Brennan, Thomas Emmett"",PERSON"
"""Brewster, Daniel Baugh"",PERSON"
"""Bridgewater, Tim"",PERSON"
"""Briggs, Ruth M."",PERSON"
"""Bright, Jean Hay"",PERSON"
"""Britton, Len"",PERSON"
"""Brock, William Emerson, III"",PERSON"
"""Brodhead, William McNulty (Bill)"",PERSON"
"""Brooke, Edward William"",PERSON"
"""Broun, Paul Collins Jr., MD"",PERSON"
"""Browder, John Glen"",PERSON"
"""Brown, Edmund Gerald, Jr. (Jerry)"",PERSON"
"""Brown, George Hanks (Hank)"",PERSON"
"""Brown, John Young"",PERSON"
"""Brown, Scott Phillip"",PERSON"
"""Brown, Sherrod Campbell"",PERSON"
"""Brown, Steve"",PERSON"
"""Brownback, Samuel Dale (Sam)"",PERSON"
"""Broyhill, James Thomas (Jim)"",PERSON"
"""Bruggere, Tom"",PERSON"
"""Bruning, Jon"",PERSON"
"""Brunner, John"",PERSON"
"""Bryan, Richard Hudson (Dick)"",PERSON"
"""Bryant, Cecil Farris"",PERSON"
"""Bryant, Edward G. (Ed)"",PERSON"
"""Bryant, Winston"",PERSON"
"""Buck, Ken"",PERSON"
"""Buckley, James Lane"",PERSON"
"""Bumpers, Dale"",PERSON"
"""Bunning, James Paul David (Jim)"",PERSON"
"""Burdick, Quentin Northrup"",PERSON"
"""Burns, Conrad Ray"",PERSON"
"""Burns, Steve"",PERSON"
"""Burr, Bob"",PERSON"
"""Burr, Richard Mauze"",PERSON"
"""Burris, John"",PERSON"
"""Busch, Pete"",PERSON"
"""Bush, George Herbert Walker (George H.W.)"",PERSON"
