text,label,named_entities
Concerned Citizens Party,PARTY,"[('Concerned Citizens Party', 'ORG')]"
"Bell, Dale",PERSON,"[('Bell', 'ORG'), ('Dale', 'PERSON')]"
"Smykowski, George James",PERSON,"[('Smykowski', 'ORG'), ('George James', 'PERSON')]"
"Carraro, Joseph (Joe)",PERSON,"[('Carraro', 'ORG'), ('Joseph (Joe', 'PERSON')]"
"Kopetski, Michael Joseph (Mike)",PERSON,"[('Kopetski', 'PERSON'), ('Michael Joseph', 'PERSON'), ('Mike', 'PERSON')]"
"Schauer, Mark",PERSON,"[('Mark', 'PERSON')]"
"Patterson, Elizabeth Johnston  (Liz)",PERSON,"[('Patterson', 'PERSON'), ('Elizabeth Johnston', 'PERSON'), ('Liz', 'PERSON')]"
"Fuller Clark, Martha",PERSON,"[('Fuller Clark', 'PERSON'), ('Martha', 'PERSON')]"
"Nolan, Rick",PERSON,"[('Nolan', 'ORG'), ('Rick', 'PERSON')]"
"Durkin, John Anthony",PERSON,"[('John Anthony', 'PERSON')]"
"Shepard, Taze",PERSON,[]
"Scofield, Sandra K.",PERSON,"[('Scofield', 'GPE'), ('Sandra K.', 'PERSON')]"
"Faught, George",PERSON,"[('George', 'PERSON')]"
Republican Party of Minnesota,ORG,"[('Republican Party of Minnesota', 'ORG')]"
Democratic Party of Wisconsin,ORG,"[('Democratic Party of Wisconsin', 'ORG')]"
"Capps, Walter H.",PERSON,"[('Capps', 'PERSON'), ('Walter H.', 'PERSON')]"
"Forrester, Douglas (Doug)",PERSON,"[('Forrester', 'ORG'), ('Douglas', 'PERSON')]"
South Dakota Republican State Committee,ORG,"[('South Dakota', 'GPE'), ('State Committee', 'ORG')]"
"Jones, Charles P. (Charlie)",PERSON,"[('Charles P.', 'PERSON'), ('Charlie', 'PERSON')]"
"Duke, David",PERSON,"[('Duke', 'ORG'), ('David', 'PERSON')]"
"Ross, Alan",PERSON,"[('Ross', 'PERSON'), ('Alan', 'PERSON')]"
"MacMillan, Colin",PERSON,"[('MacMillan', 'ORG'), ('Colin', 'PERSON')]"
"Darias, Alicia",PERSON,"[('Alicia', 'PERSON')]"
"Winters, Brent",PERSON,"[('Winters', 'ORG'), ('Brent', 'PERSON')]"
"Hoff, Philip Henderson",PERSON,"[('Philip Henderson', 'PERSON')]"
Grassroots Party,PARTY,"[('Grassroots Party', 'ORG')]"
"Maag, Gordon",PERSON,"[('Gordon', 'PERSON')]"
"Maye, Vivian",PERSON,"[('Maye', 'PERSON'), ('Vivian', 'NORP')]"
Mississippi,GPE,"[('Mississippi', 'GPE')]"
"Phillips, Vel R.",PERSON,"[('Phillips', 'ORG'), ('Vel R.', 'PERSON')]"
"McColl, Bill",PERSON,"[('McColl', 'ORG'), ('Bill', 'PERSON')]"
"Sharpe, Mark",PERSON,"[('Sharpe', 'PERSON'), ('Mark', 'PERSON')]"
"Salier, Bill",PERSON,"[('Bill', 'PERSON')]"
"Johnson, Timothy Peter (Tim)",PERSON,"[('Johnson', 'PERSON'), ('Timothy Peter', 'PERSON'), ('Tim', 'PERSON')]"
"Travers, F. Warren",PERSON,"[('F. Warren', 'PERSON')]"
"Keating, Francis Anthony (Frank)",PERSON,"[('Keating', 'GPE'), ('Francis Anthony', 'PERSON'), ('Frank', 'PERSON')]"
"Mike, Pence",PERSON,"[('Mike', 'PERSON'), ('Pence', 'PERSON')]"
"Nelson, Chris",PERSON,"[('Nelson', 'PERSON'), ('Chris', 'PERSON')]"
"Holshof, Kenny",PERSON,"[('Holshof', 'PERSON'), ('Kenny', 'GPE')]"
Herb Kohl for U.S. Senate Campaign,ORG,"[('Herb Kohl', 'PERSON'), ('U.S. Senate Campaign', 'ORG')]"
"Danforth, John Claggett",PERSON,"[('Danforth', 'PERSON'), ('John Claggett', 'PERSON')]"
"Dalton, Walter",PERSON,"[('Dalton', 'PERSON'), ('Walter', 'PERSON')]"
"Gray, Kenneth J.",PERSON,"[('Kenneth J.', 'PERSON')]"
"Schinella, Anthony",PERSON,"[('Anthony', 'PERSON')]"
