text	label
60 Plus Association	ENTITY
Adrian Smith for Congress	ENTITY
American Federation of Labor and Congress of Industrial Organizations	ENTITY
AFSCME People American Federation of State	ENTITY
Alabama Democratic Party	ENTITY
Alabama Republic Executive Committee	ENTITY
Alaska Republican Party	ENTITY
Alaskans Standing Together	ENTITY
Alex Sink For Congress	ENTITY
Alliance For A Better Minnesota	ENTITY
Alliance For Quality Nursing Home Care	ENTITY
American Action Network Inc.	ENTITY
American Chemistry Council	ENTITY
American Commitment	ENTITY
American Conservative Union	ENTITY
American Crossroads	ENTITY
American Family Voices and Public Campaign Action Fund	ENTITY
American Federation of State	ENTITY
American Future Fund	ENTITY
American Health Care Association	ENTITY
American Medical Association Political Action Committee 	ENTITY
American Principles Fund	ENTITY
American Tax Reform Foundation	ENTITY
American Taxpayers Alliance	ENTITY
American Values PAC	ENTITY
Americans Against D.C. Statehood	ENTITY
Americans for Conservation	ENTITY
Americans For Job Security	ENTITY
Americans for Limited Terms	ENTITY
Americans for Prosperity	ENTITY
Americans for Prosperity-Florida	ENTITY
Americans for Tax Reform Education	ENTITY
Americans For Tax Reform Foundation	ENTITY
Americans United For Change	ENTITY
Americans United to Preserve Marriage	ENTITY
America's Agenda: Health Care For Kids	ENTITY
Amodei for Nevada	ENTITY
AMPAC	ENTITY
Andy Barr for Congress	ENTITY
Angus King for U.S. Senate Campaign	ENTITY
Ann Church	ENTITY
Anthony Troiani for U.S. Congress Campaign Committee	ENTITY
Anti Democratic Party	ENTITY
Anti-Abortion	ENTITY
Anti-Mark Udall	ENTITY
Arizona Democratic Party	ENTITY
Arizona Republican Party	ENTITY
Arkansas Democratic Party	ENTITY
Arkansas Republican Party	ENTITY
Associated Builders & Contractors	ENTITY
Associated Builders and Contractors PAC	ENTITY
Association of Trial Lawyers of America PAC	ENTITY
Auto Dealers and Drivers Free Trade PAC	ENTITY
Avalos for Congress	ENTITY
Bachus for Congress	ENTITY
BaileyForLife2000	ENTITY
Barr for Congress	ENTITY
Barrett For Representative	ENTITY
Beatty for Congress	ENTITY
Beckum for Senate	ENTITY
Berg for North Dakota	ENTITY
Beto for Congress	ENTITY
Betty Sutton for Congress	ENTITY
Bill Fletcher	ENTITY
Bill Hafner for Congress	ENTITY
Bivens for Senate	ENTITY
Bliss 2012	ENTITY
Blue America PAC	ENTITY
Blumenauer for Congress	ENTITY
Bob Casey for U.S Senate	ENTITY
Bob Johnson for Congress	ENTITY
Bonamici for Congress	ENTITY
Boy Scouts of America	ENTITY
Branko Radulovacki for U.S. Senate	ENTITY
Brett Guthrie for Congress	ENTITY
Bruning for Attorney General	ENTITY
Bruning for Senate	ENTITY
Bucshon for Congress	ENTITY
Buddy Carter for Congress	ENTITY
Business Roundtable	ENTITY
California Democratic Party	ENTITY
California Justice Committee	ENTITY
California Peace Action	ENTITY
California Republican Party	ENTITY
Camden County Democratic Committee	ENTITY
Campaign for a Progressive Future	ENTITY
Campaign for America	ENTITY
Campaign for America's Future	ENTITY
Campaign for Working Families	ENTITY
Campaign Money Watch	ENTITY
Campaign to Defend America	ENTITY
Cardin for US Senate	ENTITY
Case for Hawaii	ENTITY
Celeste for Congress	ENTITY
Change America Now	ENTITY
Charlton McIlwain/Caliendo Research	ENTITY
Cheney for Wyoming	ENTITY
Chip for Congress	ENTITY
Christian Action Network	ENTITY
Citizens Action	ENTITY
Citizens Club for growth PAC	ENTITY
Citizens Flag Alliance	ENTITY
Citizens For A Better America	ENTITY
Citizens for a Strong Senate	ENTITY
Citizens for Altmire	ENTITY
Citizens For Better Medicare	ENTITY
Citizens for common sense in Nat' defense	ENTITY
Citizens for Culver	ENTITY
Citizens for Effective County Government	ENTITY
Citizens for Josh Mandel	ENTITY
Citizens for Reform	ENTITY
Citizens for Republic Education Fund	ENTITY
Citizens For Responsible Government in Illinois	ENTITY
Citizens for Strength and Security	ENTITY
Citizens for the Republican Education Fund	ENTITY
Citizens for Tilton for County Court	ENTITY
Citizens for Zwick	ENTITY
Citizens Opposing Racism and Discrimination	ENTITY
Citizens to Cut & Cap Your Property Taxes	ENTITY
Closson for Congress	ENTITY
Club For Growth	ENTITY
Club for Growth Action	ENTITY
Club for Growth PAC	ENTITY
ClubforGrowth.net	ENTITY
Coalition for a Democratic Workplace	ENTITY
Coalition for the Future American Worker	ENTITY
Coleman for US Senate	ENTITY
Coloradans for David Skaggs	ENTITY
Coloradans for Plain Talk	ENTITY
Colorado Democratic Party	ENTITY
Colorado Families First	ENTITY
Colorado Republican Campaign Committee	ENTITY
Colorado Republican Committee	ENTITY
Colorado Republican Federal Campaign Committee	ENTITY
Committee For Justice	ENTITY
Committee for Political Awareness	ENTITY
Committee For Quality of Life	ENTITY
Committee to elect a Fair and Impartial Supreme Court	ENTITY
